material,estoque_total
804136,5.0
804159,7.0
804256,2.0
804257,10.0
804266,12.0
804279,2.0
804287,3.0
804292,989.0
804319,1.0
804326,400.0
804337,187.0
804362,3.0
804421,517.0
804422,227.0
804425,7.0
804426,10.0
804483,10.0
804484,10.0
804485,10.0
804486,10.0
804492,20.0
804493,16.0
804494,16.0
804554,16.0
804556,8.0
804562,14.0
804565,108.0
804573,309.0
804605,32.0
804633,1000.0
804637,999.0
804638,257.0
804639,967.0
804670,6.0
804671,6.0
804736,8.0
804743,4.0
804881,2260.0
804882,592.0
804883,750.0
804894,3971.0
805173,335.0
805184,258.0
805193,23.0
805207,49.0
805218,18.0
805226,6.0
805239,10.0
805246,5.0
805254,7.0
805262,565.0
805265,12.0
805324,2496.0
805326,200.0
805374,300.0
805400,30.0
805413,156.0
805414,131.0
805429,7.0
805431,20.0
805448,20.0
805459,402.0
805464,3.0
805465,2.0
805466,2.0
805467,14.0
805468,1.0
805469,4.0
805471,50.0
805478,58.0
805484,18.0
805494,2.0
805495,1.0
805532,5.0
805548,1520.0
805551,1.0
